Backbone,Config,Attack class,Asset,Impact used,Windows,Detected,Delay (windows)
TiDE,B+G,DDoS_HTTP,N1_gateway,1.000000,9934,True,1.000000
TiDE,B+G,DDoS_TCP,N1_gateway,1.000000,9964,True,1.000000
TiDE,B+G,Password,N3_hmi,1.000000,9982,True,1.000000
TiDE,B+G,Port_Scanning,N1_gateway,1.000000,4464,True,1.000000
TiDE,B+G,Vulnerability_scanner,N1_gateway,1.000000,9973,True,1.000000
TiDE,B+G,Backdoor,N2_scada,1.000000,4924,True,1.000000
TiDE,B+G,XSS,N1_gateway,1.000000,3134,True,1.000000
TiDE,B+G,Fingerprinting,N4_sensor,1.000000,152,True,1.000000
TiDE,B+G,DDoS_UDP,N1_gateway,1.000000,24265,True,1.000000
TiDE,B+G,DDoS_ICMP,N1_gateway,1.000000,23239,True,1.000000
TiDE,FULL,MITM,N4_sensor,0.210000,194,False,
TiDE,FULL,Uploading,N3_hmi,0.580000,7478,True,9.000000
TiDE,FULL,Ransomware,N5_plc,0.810000,2136,True,3.000000
TiDE,FULL,SQL_injection,N2_scada,0.900000,10192,True,3.000000
TiDE,FULL,DDoS_HTTP,N1_gateway,0.810000,9934,True,3.000000
TiDE,FULL,DDoS_TCP,N1_gateway,0.810000,9964,True,3.000000
TiDE,FULL,Password,N3_hmi,0.580000,9982,True,3.000000
TiDE,FULL,Port_Scanning,N1_gateway,0.810000,4464,True,3.000000
TiDE,FULL,Vulnerability_scanner,N1_gateway,0.810000,9973,True,3.000000
TiDE,FULL,Backdoor,N2_scada,0.900000,4924,True,3.000000
TiDE,FULL,XSS,N1_gateway,0.810000,3134,True,3.000000
TiDE,FULL,Fingerprinting,N4_sensor,0.210000,152,False,
TiDE,FULL,DDoS_UDP,N1_gateway,0.810000,24265,True,3.000000
TiDE,FULL,DDoS_ICMP,N1_gateway,0.810000,23239,True,3.000000
Vanilla-Transformer,B,MITM,N4_sensor,1.000000,194,True,1.000000
Vanilla-Transformer,B,Uploading,N3_hmi,1.000000,7478,True,1.000000
Vanilla-Transformer,B,Ransomware,N5_plc,1.000000,2136,True,1.000000
Vanilla-Transformer,B,SQL_injection,N2_scada,1.000000,10192,True,1.000000
Vanilla-Transformer,B,DDoS_HTTP,N1_gateway,1.000000,9934,True,1.000000
Vanilla-Transformer,B,DDoS_TCP,N1_gateway,1.000000,9964,True,1.000000
Vanilla-Transformer,B,Password,N3_hmi,1.000000,9982,True,1.000000
Vanilla-Transformer,B,Port_Scanning,N1_gateway,1.000000,4464,True,1.000000
Vanilla-Transformer,B,Vulnerability_scanner,N1_gateway,1.000000,9973,True,1.000000
Vanilla-Transformer,B,Backdoor,N2_scada,1.000000,4924,True,1.000000
Vanilla-Transformer,B,XSS,N1_gateway,1.000000,3134,True,1.000000
Vanilla-Transformer,B,Fingerprinting,N4_sensor,1.000000,152,True,1.000000
Vanilla-Transformer,B,DDoS_UDP,N1_gateway,1.000000,24265,True,1.000000
Vanilla-Transformer,B,DDoS_ICMP,N1_gateway,1.000000,23239,True,1.000000
Vanilla-Transformer,B+K,MITM,N4_sensor,1.000000,194,True,3.000000
Vanilla-Transformer,B+K,Uploading,N3_hmi,1.000000,7478,True,3.000000
Vanilla-Transformer,B+K,Ransomware,N5_plc,1.000000,2136,True,3.000000
Vanilla-Transformer,B+K,SQL_injection,N2_scada,1.000000,10192,True,3.000000
Vanilla-Transformer,B+K,DDoS_HTTP,N1_gateway,1.000000,9934,True,3.000000
Vanilla-Transformer,B+K,DDoS_TCP,N1_gateway,1.000000,9964,True,3.000000
Vanilla-Transformer,B+K,Password,N3_hmi,1.000000,9982,True,3.000000
Vanilla-Transformer,B+K,Port_Scanning,N1_gateway,1.000000,4464,True,3.000000
Vanilla-Transformer,B+K,Vulnerability_scanner,N1_gateway,1.000000,9973,True,3.000000
Vanilla-Transformer,B+K,Backdoor,N2_scada,1.000000,4924,True,3.000000
Vanilla-Transformer,B+K,XSS,N1_gateway,1.000000,3134,True,3.000000
Vanilla-Transformer,B+K,Fingerprinting,N4_sensor,1.000000,152,True,3.000000
Vanilla-Transformer,B+K,DDoS_UDP,N1_gateway,1.000000,24265,True,3.000000
Vanilla-Transformer,B+K,DDoS_ICMP,N1_gateway,1.000000,23239,True,3.000000
Vanilla-Transformer,B+A,MITM,N4_sensor,0.210000,194,False,
Vanilla-Transformer,B+A,Uploading,N3_hmi,0.580000,7478,True,1.000000
Vanilla-Transformer,B+A,Ransomware,N5_plc,0.810000,2136,True,1.000000
Vanilla-Transformer,B+A,SQL_injection,N2_scada,0.900000,10192,True,1.000000
Vanilla-Transformer,B+A,DDoS_HTTP,N1_gateway,0.810000,9934,True,1.000000
Vanilla-Transformer,B+A,DDoS_TCP,N1_gateway,0.810000,9964,True,1.000000
Vanilla-Transformer,B+A,Password,N3_hmi,0.580000,9982,True,1.000000
Vanilla-Transformer,B+A,Port_Scanning,N1_gateway,0.810000,4464,True,1.000000
Vanilla-Transformer,B+A,Vulnerability_scanner,N1_gateway,0.810000,9973,True,1.000000
Vanilla-Transformer,B+A,Backdoor,N2_scada,0.900000,4924,True,1.000000
Vanilla-Transformer,B+A,XSS,N1_gateway,0.810000,3134,True,1.000000
Vanilla-Transformer,B+A,Fingerprinting,N4_sensor,0.210000,152,False,
Vanilla-Transformer,B+A,DDoS_UDP,N1_gateway,0.810000,24265,True,1.000000
Vanilla-Transformer,B+A,DDoS_ICMP,N1_gateway,0.810000,23239,True,1.000000
Vanilla-Transformer,B+G,MITM,N4_sensor,1.000000,194,True,1.000000
Vanilla-Transformer,B+G,Uploading,N3_hmi,1.000000,7478,True,1.000000
Vanilla-Transformer,B+G,Ransomware,N5_plc,1.000000,2136,True,1.000000
Vanilla-Transformer,B+G,SQL_injection,N2_scada,1.000000,10192,True,1.000000
Vanilla-Transformer,B+G,DDoS_HTTP,N1_gateway,1.000000,9934,True,1.000000
Vanilla-Transformer,B+G,DDoS_TCP,N1_gateway,1.000000,9964,True,1.000000
Vanilla-Transformer,B+G,Password,N3_hmi,1.000000,9982,True,1.000000
Vanilla-Transformer,B+G,Port_Scanning,N1_gateway,1.000000,4464,True,1.000000
Vanilla-Transformer,B+G,Vulnerability_scanner,N1_gateway,1.000000,9973,True,1.000000
Vanilla-Transformer,B+G,Backdoor,N2_scada,1.000000,4924,True,1.000000
Vanilla-Transformer,B+G,XSS,N1_gateway,1.000000,3134,True,1.000000
Vanilla-Transformer,B+G,Fingerprinting,N4_sensor,1.000000,152,True,1.000000
Vanilla-Transformer,B+G,DDoS_UDP,N1_gateway,1.000000,24265,True,1.000000
Vanilla-Transformer,B+G,DDoS_ICMP,N1_gateway,1.000000,23239,True,1.000000
Vanilla-Transformer,FULL,MITM,N4_sensor,0.210000,194,False,
Vanilla-Transformer,FULL,Uploading,N3_hmi,0.580000,7478,True,3.000000
Vanilla-Transformer,FULL,Ransomware,N5_plc,0.810000,2136,True,3.000000
Vanilla-Transformer,FULL,SQL_injection,N2_scada,0.900000,10192,True,3.000000
Vanilla-Transformer,FULL,DDoS_HTTP,N1_gateway,0.810000,9934,True,3.000000
Vanilla-Transformer,FULL,DDoS_TCP,N1_gateway,0.810000,9964,True,3.000000
Vanilla-Transformer,FULL,Password,N3_hmi,0.580000,9982,True,3.000000
Vanilla-Transformer,FULL,Port_Scanning,N1_gateway,0.810000,4464,True,3.000000
Vanilla-Transformer,FULL,Vulnerability_scanner,N1_gateway,0.810000,9973,True,3.000000
Vanilla-Transformer,FULL,Backdoor,N2_scada,0.900000,4924,True,3.000000
Vanilla-Transformer,FULL,XSS,N1_gateway,0.810000,3134,True,3.000000
Vanilla-Transformer,FULL,Fingerprinting,N4_sensor,0.210000,152,False,
Vanilla-Transformer,FULL,DDoS_UDP,N1_gateway,0.810000,24265,True,3.000000
Vanilla-Transformer,FULL,DDoS_ICMP,N1_gateway,0.810000,23239,True,3.000000
